Title,Time,reporttype,Reviews,
Rated  for Birth Control Report,Posted 7 months ago (7/25/2020),Report,"This is my third Mirena and I’m in love. I have PMDD, and the Mirena takes alllllll of those symptoms away!!! But only for two years... two years of complete bliss!!!!! Insertion is a bit painful... I cramped off/on for a few days... I only bleed on insertion day, and not a drop since then... day 7 of the Mirena, I woke up in the best mood with NO anxiety. Mirena has given me my life back. :D",
Rated  for Birth Control Report,Posted 7 months ago (7/24/2020),Report,"I love love love it!!!!! Painful insertion and removal! Definitely terrible that moment and the evening of. Afterwards, complete bliss! No worry of accidental pregnancies. No periods or cramping. Honestly has been a life changer.",
Rated  for Contraception Report,Posted 8 months ago (7/1/2020),Report,"I have very mixed feelings about Mirena. I took it for over a year and a half and there is so much to say about the range of effects it had on me. To begin, the insertion itself wasn’t at all as bad as some reviews. It was some pressure, but not at all painful. Until the next day— and let me tell you, the pain was so intense and horrible, I don’t even know how to describe it. That same pain/cramping would randomly occur for a few days each month pretty much for the entire time I had it. After 6months, I quickly noticed that my libido was nearly nonexistent and Mirena also made sex really unenjoyable because of how dry it made me, even with added lubricant. Finally, I decided to get it removed when one day, I couldn’t even move from my bed because the cramps were so unbearable. And I also think it’s relevant to mention that I have a pretty high pain tolerance and this was the worst ovarian pain I’ve ever, ever experienced. Long story short- after getting the IUD removed, I noticed massive mood shifts where I felt so much happier and less erratic, which I hadn’t even noticed had happened when I had the IUD. I only after getting it removed, that Mirena had made me super aggressive and",
Rated  for Endometriosis Report,Posted 8 months ago (6/29/2020),Report,"I've had endometriosis for over 20 years and had a tubaligation 11 years ago. My gyno, when I requested a hysterectomy for the endometriosis due to pain and bleeding issues, suggested the mirena. I allowed it. Although it did stop any excessive bleeding, I spotted constantly for 4 months and the cramping pain was even worse. I gained over 20 lbs in those 4 months (not due to diet), my blood pressure went dangerously high, I experienced bloating & IBS, my feet/ankles would painfully swell every day, I began to have migraines daily and nauseating dizziness. I had it removed 2 days ago. The cramping and migraines went away immediately, the dizziness is slowly subsiding, but, so far, the swelling has not gone away. It's been a terrible experience.",
Rated  for Birth Control Report,Posted 8 months ago (6/23/2020),Report,"Yesterday I got my body back, I had the mirena for 5 years yes painful Insertion and extraction but what I never realised was the connection to the side effects I’ve had for the past 2 years skin acne,anxiety, ovarian cysts, mood swings low mood weight gain and IBS. It’s seemed like year 3 I started with all These symptoms it was great until Then, day 2 I feel so much better my fretting buzz I’ve had for So long is gone. I do not recommend this... working towards regulating my own hormones and not synthetic will see how I go",
Rated  for Birth Control Report,Posted 8 months ago (6/23/2020),Report,"Absolutely hate it. Have a meeting with my doctor to get it removed this week. Have tried for 2years to see if my body would adjust. I used to get bad cramps, but now my cramping is worse 10/10 and have frequent cramps throughout the month. Always bloated. I have gained weight and no matter what I do cannot get it off. I’ve never had acne in my life and now have it on my back and down my neck. Not worth its effectiveness for contraception.",
Rated  for Endometriosis Report,Posted 8 months ago (6/22/2020),Report,"Have had mirena for about 3 months. In terms of pain from the endometriosis, it’s been amazing. No massive pain like before that had me in tears for months , just on & off little periods like very very mild pain. Very happy with it. But recently been have been feeling a little overwhelming feeling in my head. Don’t think it’s depression but definitely a little empty feeling. Going to visit my GP on Wednesday to see if it’s related to hormones & mirena. I also feel little brain zaps like feeling at times on my brain. But in terms of pain, omg, it’s been heaven sent.",
Rated  for Birth Control Report,Posted 8 months ago (6/21/2020),Report,"I got this after trying about 7 other types of birth control for heavy, constant periods and finding out I couldn't have combined birth control due to unbearable side effects. It really was a last shot. The insertion was painful but nowhere near as bad as I thought and it was over quickly. I had cramps for about 3 weeks after but not worse than a regular period. My constant bleeding carried on for a while and then.. Just stopped. I have now had the coil for about 8 months and haven't bled for 6. I'm so happy because prior to this I had litrtally bled for 2 years straight and it was awful. Ocassionally I get a bit moody and PMS-y but this is a small price to pay for a birth control that has given me my life back. Plus you can just forget about it!",
Rated  for Birth Control Report,Posted 8 months ago (6/21/2020),Report,"I had the Mirena coil fitted after having my 3rd child when I was 35 year of age. It was horrible as I had a tilted cervix so it took almost an hour to put it in the correct place and boy it was painful. I bled for 10 weeks solid afterwards but then my periods slowed down then stopped altogether. I am now 51 and still have the original Mirena that was fitted 16 years ago! I saw my GP last year about going through the menopause and she insisted that before they can give me any menopause treatment, she wanted the coil removed, I refused as now I can imagine it would have become attached to my cervix and as it was so painful going in, I can imagine it will be painful being pulled out. I have high blood pressure, migraines, bloated ness, cramps, mood swings and can not seem to lose weight. I have never thought that any of these symptoms were due to the coil but when I look back, the coil was fitted before any of these started to happen. The problem now is that I still can not go and have the coil removed as it gives me anxiety just thinking about the pain and if it doesn’t come out easily, I don’t want to go through that pain again.",
Rated  for Birth Control Report,Posted 8 months ago (6/19/2020),Report,I have had the mirena for 2 years. Decided to try it after having my baby and the pills made me constantly bleed. This experience hasn't been much better the first year I bleed non stop. After the first year got a little better now for the last wish months I move the wrong way I start bleeding. They prescribed me bc pills to go along with it... still bleeding. Masturbation no penetration I bleed. Sneeze I bleed. It's getting taken out asap. I do not recomend this at all,
Rated  for Birth Control Report,Posted 8 months ago (6/17/2020),Report,"Ok, I am on my second one. The first was in for a couple years and I thought it was great. No periods was amazing. I did progressively gain a little weight but I hadn't really tried to get rid of it. I had a baby and then got another one right away and my five years is up next month and I'm trying to decide if I get another one or not. I don't even remember what it's like to have a monthly period, which is still amazing, but over time I've gained a fair amount of weight and it just won't go away, no matter how hard I push myself. I do have yeast infections pretty often now that I never had previously in my life but I never thought it could have been because of my mirena until reading reviews on here today. I did also get migraines, which I attributed to something else too until reading things today. It seems like a few things seemed to slowly creep in and I didn't realize that it could be related to my IUD. I'm thinking I'll get it taken out and see how things roll for a while and then make the decision to get it again or possibly try something new.",
Rated  for Contraception Report,Posted 8 months ago (6/15/2020),Report,"I had an awful experience with Mirena. Was told by GP and doctor who fitted it that there were no bad side effects at all. I had it in for about a year and actually felt suicidal. It gave me chronic fatigue, terrible ovulation pain, vertigo, insomnia, bloating, breast tenderness and depression. Within a few days and weeks of removal I was feeling so much better. The GPs are either not telling the truth about how this can effect you, or don't want to know.",
Rated  for Endometriosis Report,Posted 8 months ago (6/8/2020),Report,"Had this in for almost 6 months and today I've asked for it to be removed.. I cant lose weight even following a diet, I feel bloated and run down and I've bleed every day with terrible period pains sex life has gone due to the blood loss , recently started feeling dizzy with it . Dr also kept me on cerazette pill to try to stop the bleeding hasn't worked I'm grateful tomorrow it comes out . I dont recommend this device at all.",
Rated  for Endometriosis Report,Posted 9 months ago (6/6/2020),Report,"I had the Mirena placed March 5, 2020. I had spotting each month for about 15 days. So much better than my gushing heavy 10 day cycles wherein I could not leave the house even wearing a super duper tampon and a diaper pad. I’m 51. I did have bad acne the first month but by this month it settled down so it wasn’t a major symptom. However, I have been on blood pressure medication for one year. 3 weeks ago my hands, feet and legs started swelling and my blood pressure was consistently averaging 150/100 even on my medication and in a resting state. Both my gyno and doctor said it could not be the Mirena however my gyno said we should error on the side of caution and remove it to see if I improved. I had it removed two days ago (after 3 months almost exactly) and 3 weeks since my symptoms started. The swelling in my hands feet and legs is gone already and my blood pressure started to drop and day two after removal is Now averaging a 130/85. There definitely was a correlation between the Mirena and my blood pressure.",
Rated  for Contraception Report,Posted 9 months ago (5/24/2020),Report,I've had mirena for 7 months. Everything has gone text book except last 3 months. Constantly bloating.. weight gain 20lbs.. and most recently a skin rash in random spots. Not to mention my uterus is enlarged 3x the size. I was completely fine before mirena. Gettin this bitch out asap. Doing more harm than good. Only great thing about it is no periods. I would rather bleed heavily than destroy my insides completely because of mirena. Never again.,
Rated  for Birth Control Report,Posted 9 months ago (5/15/2020),Report,After having a baby I was freaked out by all the stories of getting pregnant right away again so o decided to buckle down . The insertion was uncomfortable to say the least .. after about having it in for a week I’ve started noticing that I am back gaining my weight thag I lost after having my baby .. so I decided to hit it hard and work out .. when I tell you NOTHING OR NO AMOINT OF EXCERCISE has made my weight go down .. I constantly feel Bloated .. I have cramps and I’m just moody .. I have decided to take it out after having it in for three months . This is horrible for ladies that are body conscious .. I will never ever put it back in after it is out . Also weird spotting on it as well,
Rated  for Birth Control Report,Posted 9 months ago (5/14/2020),Report,"I started on Mirena in September of 2017. Insertion was uncomfortable but I knew that going in to it and it didnt last long, Nurse held my hand and helped in the best way possible. Fast forward to the end of 2019 and I started to notice mood swings. Not just any mood swings but TERRIBLE mood swings (lashing out, crying for no reason, feelings of depression). It was terrible because I thought I was a bad person and something was wrong with me. I then started noticing my mood swings were worse while on my period. I still got periods every month but they were light but sometimes lasted up to 10 days. After I realized the Mirena was causing all of this discomfort, I finally had it removed TODAY (May 2020). It may be in my head, but I immediately could tell a difference in my mental health. Every woman is different but for me, hormonal birth control is not worth my mental health.",
Rated  for Endometriosis Report,Posted 9 months ago (5/14/2020),Report,I've had it for 1 year now at first i didnt stop bleeding for 6 months and when i thought it stopped and had sex i would start bleeding again. I told my doctor i wanted it out because she said after a few months the bleedin would stop but it didnt really. I went in to take it out and found out that the string has gone up inside me i had an appointment to see if my gynecologist can take it out of me before all this covid 19 started but couldnt go anymore lately i've been having migraines and back pain hoping it will all end soon and i can remove it. Now i no longer bleed at all but im always wonder if im pregnant,
Rated  for Birth Control Report,Posted 9 months ago (5/12/2020),Report,"Hello, I just got my 4th Mirena this morning. I have to say that I really love my experience with the Mirena. I havent had any side-effects. During the insert, you do feel pressure and (1) small cramp, (1) BIG cramp and (1) small cramp... Normally in that exact order. My very 1st Mirena was somewhat painful due to not having any children but the other ones have been a breeze.. I would recommend the Mirena to anyone... I normally start the night before taking Motrin, up until its time for my new Mirena. I do cramp afterwards but the cramps normally ease off about 2-3 hrs later.... I hope this is helpful.",
Rated  for Birth Control Report,Posted 9 months ago (5/10/2020),Report,Do not get this birth control !! I had it for 5 months . I bled everyday for 5 months. It hurt to have sex . I had a yeast infection every other week . I was always in pain. I ended up getting a CT scan and found out mirena gave me cysts and a blood clot. I had shooting pain down my legs and up my back constantly I almost lost my job due to the pain . Please please don’t get this birth control it’s horrible ! I forced my doctor to take it out because they didn’t want to.,
Rated  for Birth Control Report,Posted 10 months ago (5/7/2020),Report,"I had the mirena inserted november 2019, the insertion was extremely painful and I had extreme cramping afterwards so bad I was bawling my eyes out in the doctors office it was as bad as my labor contractions. I immediately started bleeding HEAVY this lasted 6 months straight, it would occasionally would slow or stop iv had it in for 9 months now...... still bleeding. I got acne so bad I don't want to leave the house anymore, My depression is as bad as its ever been I have mental break downs nearly everyday, I have extremely bad back pain. I never got headaches now I have migraines nearly daily, I'm bloated and I keep miscarring. I'm getting it taken out tommorow finnaly after 3 doctors appointments of them telling me its not the mirena , I do NOT reccomend this to anyone .",
Rated  for Endometriosis Report,Posted 10 months ago (4/21/2020),Report,"I had it since 2017, best thing I could ever done.",
Rated  for Birth Control Report,Posted 10 months ago (4/17/2020),Report,"Ive been on mirena for 2 years now and my experience isnt good Ive been bleeding all the time since day one and when it would stop i would have bad headaches ( i dont remember when i didnt have a headache). I also have acne but their not normal, itchy, painful, and big. their on my chest and back and recently ive been light headed and i would feel like i would fall time to time and im loosing alot of weight i was 120 now im 109 and i havnt changed anything in my life besides this iud Does anyone have these problems? I am getting it removed soon",
Rated  for Endometriosis Report,Posted 10 months ago (4/11/2020),Report,"I had my mirena put in during surgery for removal of some endometriosis. I was told that it would help with my endometriosis and adenomyosis. I persevered with the more a for 16 months, believing that surely it would be any time now that my body would ""adjust"" to it and things would get better. They never did. I bled or spotted the entire time I had it. I was lucky to have a few hours per day where there was no spotting. Couldn't have sex due to this anyway, but even when I did it would cause me to bleed. It also took away my libido almost completely and exacerbated my depression. The pain whilst I had this in was also like nothing I have ever experienced, even with my existing health issues. It was often and intense. I have had it out for 4 weeks now and have had no pain and much less bleeding even in that short time. I believe that my body was trying to expel the mirena and that it and that it didn't agree with it at all. I know some people swear by the mirena but for me it made everything worse.",
Rated  for Endometriosis Report,Posted 10 months ago (4/9/2020),Report,I got the Mirena 2/21/20 Not for birth control (hubby has vasectomy) but to help with my heavy periods that make me extra tired (I also have cancer and am on chemo which was making my periods worse). It didn’t hurt much going in (I have 2 children) felt fine except for spotting. But I bled every single day fairly heavy. I used so many tampons and pads it was crazy. I ruined almost every pair of underwear. I was already anemic and I’m sure I’m even more now. I tried giving it 2 full months but finally got is taken out 4/8/20 giving it 7 weeks. I was non stop bleeding. Which made it hard to have sex and I was getting even more tired then before. I’m going to try an ablation as soon as this covid 19 passes. I personally do not recommend the Mirena. If my doctor told me I would bleed non stop I wouldn’t have gotten it. They made it seem like small spotting might occur here and there. Not non stop bleeding every single day! No thank you!,
Rated  for Contraception Report,Posted 10 months ago (4/9/2020),Report,"I had the Mirena inserted in Dec 2019 after almost 10 years on the pill (no children). The insertion experience was relatively uncomfortable but no real pain and only took a few minutes. I had to sit in the Drs Office for 10 minutes or so afterwards as I felt dizzy (drop in blood pressure is apparently a common and natural reaction to this procedure) but that was the worst part. I had mild cramping that day but just took it easy with a hot waterbottle at hand. The first month I had pretty heavy and ongoing bleeding, second month less so but still sporadic spotting. Third month this had mostly cleared up with spotting only during sex, but now the first three months have passed I just a very light bleed ever 3-6 weeks. I would really recommend the Mirena coil if you are looking for a long term contraception that you don't need to think about. If you can make it through the uncomfortable insertion and some ongoing bleeding to begin with it's be worth it for the 5 years of peace of mind.",
Rated  for Birth Control Report,Posted 11 months ago (3/31/2020),Report,"For those that have opted to use Mirena to treat their heavy bleeding and are considering to take it out for X,Y,Z reasons... please pump the brakes. I have a real life experience with abnormal uterine bleeding from November 2019 until March 2020. I was wasting my life away tolerating my heavy bleeding. I would bleed from 10 to 23 days straight at times and treated with Provera to stop my bleeding and would consequently have withdrawal bleeding. It was a never ending vicious cycle. It robbed me of having a normal life and let alone my intimacy. I would bleed profusely and with heavy clots. Two weeks ago, this heavy bleeding damn nearly killed me. I needed a blood transfusion. I was given two bags. I was given the Mirena as an outpatient visit after my hospital discharge. I am grateful that I see absolutely no spotting. Spotting alone gave me anxiety as it was a reminder I was going to resume bleeding again. As long as this bleeding is kept a bay and never comes back I will stick with the Mirena. I am traumatized with vaginal bleeding. I never want to see a period again. So far since my insertion 2 weeks ago no bleeding and I'm still taking Provera to prevent bleeding at all costs",
Rated  for Birth Control Report,Posted 11 months ago (3/28/2020),Report,"For me, insertion was totally painless both times I've had it. I only had light cramping afterward. It was fast and easy. Adjusting to it the first time was a bit frustrating as I spotted for probably a full 3 months before it finally stopped, but after that I've never had a problem and it's been awesome not having full blown periods (although my breasts still swell and I'll get occasional cramps and spotting still) Even the removal of the first one was painless. I'm really glad I got it! In my opinion, its definitely one of the best birth control options out there.",
Rated  for Contraception Report,Posted 11 months ago (3/28/2020),Report,"I had the Mirena coil fitted 5 days ago. I already have 4 children, I’m very forgetful with taking the pill so this seemed like the perfect option for me . The nurses were fab, she made sure I was relaxed and comfortable throughout and explained what was happening in each stage . The only uncomfortable bit for me was when she wound open the speculum to open the vaginal wall . I didn’t feel anything else but then I have had 4 children . straight away I had spotting (normal) and still spotting 5 days later . The nurse just said this will go and settle down it’s just from insertion. I had had some cramping but mild now and then . I am hoping to keep this in for the full 5years and hoping my periods will stop . ???? This works for me","I hate this thing and can't wait to get it removed (once Doctor's offices are re-opened after Coronavirus lockdown). I had it inserted 2 months ago (Feb 2020) and have not stopped bleeding/ spotting every since. I got it for birth control purposes but now that is a moot point as with all of this gross dark brown spotting sex is undesirable for both me and my partner anyways. Plus, my libido went way down almost immediately anyways. One one attempted try for intimacy it was more uncomfortable than usual. I am so disappointed and feel disgusting and can't wait to get it removed. What a waste of $2500!!!!"
Rated  for Birth Control Report,Posted 11 months ago (3/28/2020),Report,"I hate this thing and can't wait to get it removed (once Doctor's offices are re-opened after Coronavirus lockdown). I had it inserted 2 months ago (Feb 2020) and have not stopped bleeding/ spotting every since. I got it for birth control purposes but now that is a moot point as with all of this gross dark brown spotting sex is undesirable for both me and my partner anyways. Plus, my libido went way down almost immediately anyways. One one attempted try for intimacy it was more uncomfortable than usual. I am so disappointed and feel disgusting and can't wait to get it removed. What a waste of $2500!!!!",
Rated  for Birth Control Report,Posted 11 months ago (3/25/2020),Report,"Everyone is different. Personally I found the Mirena to be a very effective form of birth control and after the 1st year it completely got rid of my periods. The insertion was done and the Dr was kind enough to numb my cervix before hand. Normal progesterone and estrogen birth control makes me extremely depressed. The biggest down side is the insertion, then the removal as they are both invasive and the insertion is painful. The next few days were cramping and mild bleeding. Besides the first week, totally easy to maintain and personally I think it's worth it.",
Rated  for Birth Control Report,Posted 11 months ago (3/16/2020),Report,"I got the Mirena inserted in September 2019 after having quite heavy periods for some time. The doctor talked it up lots and said it was the perfect option for me. Firstly, the insert was the most painful thing I've ever experienced. I later found out it's common practise to do it under anaesthesia because it's THAT painful.. to be fair, it has stopped my periods so it's done it's job there. But my sex drive is GONE. Ontop of this, mood swings, depression and anxiety are now a common theme in my life. And the weight gain... 4kgs in just a couple of months that I still can't lose! I am tired, bloated and pudgy constantly. I'm getting it taken out in a few days to see if it makes any difference because I'm at my wits end. I would rather deal with heavy periods than what I'm dealing with now.",
Rated  for Contraception Report,Posted 11 months ago (3/15/2020),Report,"I've had the mirena coil since June 2017. Since then it had highs and lows. The first year I had really bad cramping and spotting which kinda eased off. I AM CURRENTLY IN HOSPITAL as I fell pregnant with the coil still perfectly in place. Unfortunatly turned out to be an ectopic pregnancy (which is what usually happens when you get pregnant with the coil), meaning is not a viable pregnancy and there's serious risk for my life. I strongly recommend not having the mirena coil as this situation is been extremely traumatising and potencially life threatening.",
Rated  for Birth Control Report,Posted 12 months ago (3/6/2020),Report,"I’ve had the Mirena for almost 2 years and I’m so glad I got it taken out. I won’t say that I had the worst experience ever, cause it did do it’s job. I never experienced weight gain (but I’m also active duty military so we have to be in shape), I never experienced nausea, and I rarely ever had a period. However, I did experience severe depression and anxiety. Through out the entire 2 years. My moods were really unstable in the beginning but ofc it takes time for your body to get use the the bc. But after getting it removed, I haven’t been depressed or anxious like that since. Also it was causing my hair to thin/excessive shedding! My doctor said it wasnt the iud and to use rogain..... ever since I’ve had the iud out, my hair sheds about 1/4 the amount it did! Crazy how that works..... anywho and also sex could be very uncomfortable for me sometimes. There were some positions I couldn’t do cause it was just too tender or sensitive that day. Also I was always worried about the iud shifting and me not knowing it. So I’d recommend doing what you think is best for YOU... not your doctor. Also, dont ignore any signs and see if the side effects r worth it. Cause no bc is perfect.",
Rated  for Birth Control Report,Posted 12 months ago (2/25/2020),Report,"I started Mirena after giving birth to my second child because the pill was ineffective with my medication. I didn’t have any issues with Paraguard and my doctor recommended Mirena. After the initial use I had light bleeding, until there was just none. I had no periods at all. For about four and a half years I was fine. So in October I had it removed to have another baby. So I remember what I went through when I had the paraguard. I think I only was on that was two years. I went off of it to have my second child and had to wait two period cycles for the clots to come out. Not too much of a problem. Now with the Mirena I've had that in for almost 4 and a half years and after five period cycles I am just now expelling the big clots. Currently in fifth cycle since the removal and the biggest clots are JUST now coming out. I think that if I wanna have a baby next month I won't have any more issues. I’m really crossing my fingers. I didn’t read anything about fertility issues, so I think I’ll be fine.",
Rated  for Birth Control Report,Posted 12 months ago (2/20/2020),Report,"I can't say much as I only just had it inserted today but it was the worst pain I have ever experienced. 3 short unbearable cramps, one for each of the stages of insertion. They subsided pretty quickly, within minutes but I was left with severe period like cramps for a good hour. 3 hours in the ""period"" pain is bearable but still present. Just wanted to put it out there that it was a lot worse than the dr led me to believe but he said after that he hadn't had a reaction as bad as mine in a while. I have not had kids, I've heard that makes a differenfe., And I took ibuprofen prior to the appointment. Waiting to see how it goes...",
Rated  for Endometriosis Report,Posted 12 months ago (2/15/2020),Report,I had this put in as at the time I was 24 and seeing a gynceolosit for what is thought to be endometriosis but was talked into this instead of laprascopy as I am still young and can cause more scarring. Had it put in July 20219 just had it removed February 2020. Insertion was uncomfortable but bearable. That first evening I was in the worst pain felt like my insides were bring ripped out this went on for the first five days. After that I had cramping even when not on period or ovulating. I knew to expect an adjustment period but my body never adjusted. It started out as bad cramps during my periods for which it was supposed to help minimise cramping and bleeding. This did the complete opposite. My periods were heavy and lasted 3 weeks each month and the cramps were terrible. A few months in I started getting terrible hormonal acne and mood swings. I developed depression and my anxiety became worse. I really wanted to see if my body would adjust to it but I think I have it as long as I could my mind and soul was just not in it in the end.,
Rated  for Birth Control Report,Posted 12 months ago (2/15/2020),Report,"Mirena prevented pregnancy- THAT'S IT- for me. I lost weight after my child, then a few weeks later got the IUD Mirena- gained and gained until I weighed my pregnancy weight. I had had it for 4y 8m- had it out 2/13/2020- IMMEDIATE FREEDOM/ RELIEF! Felt interrogated by OB/GYN, but stood firm in my stance and gave them no reasons for why I wanted it out (ie: panic attacks, anxiety, depression, mood swings, weight gain, migraines, acne, complete physiological change) because they would have loved to shoot my research down! No birth control for me!",
Rated  for Endometriosis Report,Posted 12 months ago (2/9/2020),Report,"I had the mirena inserted to try stop heavy painful periods. I had previously tried oral contraceptives but encountered side effects that impacted my mental health significantly. I was told by several doctors and a gynaecologost that the mirena coil would be different as the hormone is emitted 'locally' in the womb and shouldn't affect my mental health. They couldn't have been more wrong! After a week of having it in, once again the anxiety and insomnia started with no external trigger whatsoever. Luckily this time round I was able to realise these symptoms were related to the mirena. When this happened me before I blamed it on myself not the synthetic hormones. As a result I suffered with poor mental health for 3 years. Word of advice - if your mental health changes on synthetic hormones and you're not yourself trust your gut and stop the hormones. I appreciate plenty of women get on just fine with this drug but I assume I am particularly sensitive to synthetic hormones.",
Rated  for Birth Control Report,Posted 12 months ago (2/8/2020),Report,"I don’t even know where to start... had a miscarriage in August of 2016 decided to get birth control for the first time ever... big mistake!! Doctor helped me choose the mirena IUD and it was the most painful experience ever and I bled for over a month afterwards. I had major cramping, back issues, headaches worse than usual, the list goes on. My periods were horrible and I had massive flooding almost every month. One month in particular I had HUGE clotting (I’m not exaggerating) and was freaking out bc I had never experienced anything like that ever before and I’ve had some bad periods. Fast forward a year.. I go back to the doctor to have it removed and they doctor can’t find it.. I have to have a ultrasound just to find out nope it’s gone. Next thing X-ray of my abdomen bc the doctor said it may have pushed through and is floating around in there somewhere.. joy! Things turned out ok no floating mirena... mostly likely had fell out with the horrible period the year before. Don’t know how on earth I’m not pregnant but someone I managed to sustain from that. I was terrified the entire time I had it and needless to say I won’t ever be doing it again!",
